CODIGO;PAIS;2021-W01;2021-W02;2021-W03;2021-W04;2021-W05;2021-W06;2021-W07;2021-W08;2021-W09;2021-W10;2021-W11;2021-W12;2021-W13;2021-W14;2021-W15;2021-W16;2021-W17;2021-W18;2021-W19;2021-W20;2021-W21;2021-W22;2021-W23;2021-W24;2021-W25;2021-W26;2021-W27;2021-W28;2021-W29;2021-W30;2021-W31;2021-W32;2021-W33;2021-W34;2021-W35;2021-W36;2021-W37;2021-W38;2021-W39;2021-W40;2021-W41;2021-W42;2021-W43;2021-W44;2021-W45;2021-W46;2021-W47;2021-W48;2021-W49;2021-W50;2021-W51;2021-W52
BE;Belgium;2481;2408;2443;2446;2283;2231;2322;2147;2021;2171;2108;2115;2230;2219;2173;2222;2211;2265;2079;2030;1997;1989;1881;1969;1781;1928;1825;1912;2003;1887;1880;1896;1840;1864;1959;2017;1899;1890;1946;2057;2226;2339;2331;2285;2384;2407;2492;2734;2610;2542;2435;2455
BG;Bulgaria;2628;2489;2525;2464;2388;2371;2494;2589;2755;3020;3391;3686;4044;3787;3738;3437;3139;2801;2552;2362;2184;2098;2054;2030;2291;2139;2099;2091;1936;2104;2242;2243;2085;2348;2479;2658;2900;2776;2842;3073;3403;3841;4049;4171;4092;3987;3657;3491;3310;3132;3100;3070
CZ;Czechia;3846;3751;3598;3449;3274;3443;3472;3631;3919;4028;3835;3470;3389;2947;2639;2511;2475;2305;2247;2052;1959;2054;1967;2055;2002;1887;1935;2030;1959;2107;1912;2032;1983;1955;1999;2074;2125;2098;2074;2112;2217;2311;2570;2691;2883;3047;3235;3388;3370;3132;2937;2773
DK;Denmark;1234;1213;1270;1218;1206;1113;1062;970;974;1052;968;1034;973;976;1029;1060;1014;1120;1046;1049;1032;1031;1053;1000;1006;1061;956;1075;1051;1057;1134;1085;1048;1062;1052;1093;1051;1051;1138;1064;1161;1129;1138;1141;1142;1132;1209;1215;1265;1260;1286;1275
DE;Germany (until 1990 former territory of the FRG);24849;24503;24077;22645;21736;20932;20469;18953;18441;18609;18336;18396;18495;18826;19065;19250;19511;19308;18592;17793;17165;18164;17410;19049;17187;16989;16957;17627;17584;17206;17001;17535;17449;17165;17338;18832;18012;18113;18087;18175;18911;19755;20259;20318;20996;22255;23160;24083;23893;22795;22324;22001
EE;Estonia;384;396;407;354;354;380;349;407;422;423;425;406;414;398;389;362;316;352;350;319;319;293;303;297;395;314;371;327;277;286;311;311;289;299;329;347;300;352;349;340;358;366;420;424;396;403;423;369;386;379;376;405
IE;Ireland;798;918;985;982;898;845;760;675;630;588;583;597;622;570;589;596;593;632;589;574;612;569;560;516;523;590;519;600;656;569;537;615;596;578;625;647;567;624;689;642;673;682;656;742;704;664;728;703;724;690;748;687
EL;Greece;2652;2498;2652;2621;2493;2463;2529;2667;2724;2655;2783;2759;2929;2898;2969;2665;2804;2937;2436;2500;2585;2318;2393;2314;2959;3154;2702;2699;2449;2825;3886;2952;2669;2778;2565;2519;2719;2440;2439;2456;2488;2514;2726;2993;2852;2991;3170;3174;3340;3286;3300;3297
ES;Spain;10479;11862;12950;12703;11577;10375;9489;9037;8546;8325;8080;8199;8200;8079;7958;8094;7867;8067;7744;7615;7438;7355;7713;7807;7286;7555;7543;7564;8479;8367;8642;8856;8759;8219;7939;7900;7512;7435;7555;7529;7590;7745;8182;7819;8723;8786;8848;9377;9012;9489;9780;9827
FR;France;14976;14940;15437;15037;14717;14444;14423;13637;13244;13111;13270;13092;13516;13286;13362;13515;13024;12777;11796;11516;11365;11140;11001;11161;10155;10439;10827;10627;11829;11021;11041;12144;11928;11577;11995;12231;11326;11284;11651;11724;12390;12275;12556;11973;12406;12553;13128;13765;14277;14175;14944;15022
