CODIGO;PAIS;2021-W01;2021-W02;2021-W03;2021-W04;2021-W05;2021-W06;2021-W07;2021-W08;2021-W09;2021-W10;2021-W11;2021-W12;2021-W13;2021-W14;2021-W15;2021-W16;2021-W17;2021-W18;2021-W19;2021-W20;2021-W21;2021-W22;2021-W23;2021-W24;2021-W25;2021-W26;2021-W27;2021-W28;2021-W29;2021-W30;2021-W31;2021-W32;2021-W33;2021-W34;2021-W35;2021-W36;2021-W37;2021-W38;2021-W39;2021-W40;2021-W41;2021-W42;2021-W43;2021-W44;2021-W45;2021-W46;2021-W47;2021-W48;2021-W49;2021-W50;2021-W51;2021-W52
BE;Belgium;2.481;2.408;2.443;2.446;2.283;2.231;2.322;2.147;2.021;2.171;2.108;2.115;2.230;2.219;2.173;2.222;2.211;2.265;2.079;2.030;1.997;1.989;1.881;1.969;1.781;1.928;1.825;1.912;2.003;1.887;1.880;1.896;1.840;1.864;1.959;2.017;1.899;1.890;1.946;2.057;2.226;2.339;2.331;2.285;2.384;2.407;2.492;2.734;2.610;2.542;2.435;2.455
BG;Bulgaria;2.628;2.489;2.525;2.464;2.388;2.371;2.494;2.589;2.755;3.020;3.391;3.686;4.044;3.787;3.738;3.437;3.139;2.801;2.552;2.362;2.184;2.098;2.054;2.030;2.291;2.139;2.099;2.091;1.936;2.104;2.242;2.243;2.085;2.348;2.479;2.658;2.900;2.776;2.842;3.073;3.403;3.841;4.049;4.171;4.092;3.987;3.657;3.491;3.310;3.132;3.100;3.070
CZ;Czechia;3.846;3.751;3.598;3.449;3.274;3.443;3.472;3.631;3.919;4.028;3.835;3.470;3.389;2.947;2.639;2.511;2.475;2.305;2.247;2.052;1.959;2.054;1.967;2.055;2.002;1.887;1.935;2.030;1.959;2.107;1.912;2.032;1.983;1.955;1.999;2.074;2.125;2.098;2.074;2.112;2.217;2.311;2.570;2.691;2.883;3.047;3.235;3.388;3.370;3.132;2.937;2.773
DK;Denmark;1.234;1.213;1.270;1.218;1.206;1.113;1.062;970;974;1.052;968;1.034;973;976;1.029;1.060;1.014;1.120;1.046;1.049;1.032;1.031;1.053;1.000;1.006;1.061;956;1.075;1.051;1.057;1.134;1.085;1.048;1.062;1.052;1.093;1.051;1.051;1.138;1.064;1.161;1.129;1.138;1.141;1.142;1.132;1.209;1.215;1.265;1.260;1.286;1.275
DE;Germany (until 1990 former territory of the FRG);24.849;24.503;24.077;22.645;21.736;20.932;20.469;18.953;18.441;18.609;18.336;18.396;18.495;18.826;19.065;19.250;19.511;19.308;18.592;17.793;17.165;18.164;17.410;19.049;17.187;16.989;16.957;17.627;17.584;17.206;17.001;17.535;17.449;17.165;17.338;18.832;18.012;18.113;18.087;18.175;18.911;19.755;20.259;20.318;20.996;22.255;23.160;24.083;23.893;22.795;22.324;22.001
EE;Estonia;384;396;407;354;354;380;349;407;422;423;425;406;414;398;389;362;316;352;350;319;319;293;303;297;395;314;371;327;277;286;311;311;289;299;329;347;300;352;349;340;358;366;420;424;396;403;423;369;386;379;376;405
IE;Ireland;798;918;985;982;898;845;760;675;630;588;583;597;622;570;589;596;593;632;589;574;612;569;560;516;523;590;519;600;656;569;537;615;596;578;625;647;567;624;689;642;673;682;656;742;704;664;728;703;724;690;748;687
EL;Greece;2.652;2.498;2.652;2.621;2.493;2.463;2.529;2.667;2.724;2.655;2.783;2.759;2.929;2.898;2.969;2.665;2.804;2.937;2.436;2.500;2.585;2.318;2.393;2.314;2.959;3.154;2.702;2.699;2.449;2.825;3.886;2.952;2.669;2.778;2.565;2.519;2.719;2.440;2.439;2.456;2.488;2.514;2.726;2.993;2.852;2.991;3.170;3.174;3.340;3.286;3.300;3.297
ES;Spain;10.479;11.862;12.950;12.703;11.577;10.375;9.489;9.037;8.546;8.325;8.080;8.199;8.200;8.079;7.958;8.094;7.867;8.067;7.744;7.615;7.438;7.355;7.713;7.807;7.286;7.555;7.543;7.564;8.479;8.367;8.642;8.856;8.759;8.219;7.939;7.900;7.512;7.435;7.555;7.529;7.590;7.745;8.182;7.819;8.723;8.786;8.848;9.377;9.012;9.489;9.780;9.827
FR;France;14.976;14.940;15.437;15.037;14.717;14.444;14.423;13.637;13.244;13.111;13.270;13.092;13.516;13.286;13.362;13.515;13.024;12.777;11.796;11.516;11.365;11.140;11.001;11.161;10.155;10.439;10.827;10.627;11.829;11.021;11.041;12.144;11.928;11.577;11.995;12.231;11.326;11.284;11.651;11.724;12.390;12.275;12.556;11.973;12.406;12.553;13.128;13.765;14.277;14.175;14.944;15.022
